"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"","0","1","0","1","0.000000","10","0"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","16","67","72","6","7.119585","0","0"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","16","74","80","3","6.528283","0","0"
"Globals","16","2433","0","1","0.000000","0","0"
"/Engine/EngineMaterials/PhAT_JointLimitMaterial.PhAT_JointLimitMaterial","16","15","16","1","1.205690","0","0"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","16","7","8","1","0.603232","0","0"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","16","24","24","1","2.274810","0","0"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","16","10","10","1","0.826866","0","0"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","16","10","10","1","0.730139","0","0"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","16","2","2","1","0.205681","0","0"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeBillboardMaster.SpeedTreeBillboardMaster","16","64","68","1","5.779261","0","0"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeMaster.SpeedTreeMaster","16","90","94","1","8.485059","0","0"
"/Engine/EngineDebugMaterials/M_VolumeRenderSphereTracePP.M_VolumeRenderSphereTracePP","16","4","4","1","0.321007","0","0"
"/Engine/EngineDebugMaterials/WireframeMaterial.WireframeMaterial","16","526","574","1","41.996861","0","0"
"/Engine/EngineDebugMaterials/VertexColorMaterial.VertexColorMaterial","16","85","90","1","10.184566","0","0"
"/Engine/EngineMaterials/DefaultMaterial.DefaultMaterial","16","123","123","1","15.941736","0","0"
"/Engine/ArtTools/RenderToTexture/Materials/Debug/M_Emissive_Color.M_Emissive_Color","16","2","2","1","0.237393","0","0"
"/Engine/VREditor/TransformGizmo/Xray.Xray","16","12","12","1","1.532793","0","0"
"/Engine/VREditor/TransformGizmo/Main.Main","16","8","8","1","0.838222","0","0"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","16","8","8","1","0.856236","0","0"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","16","2","2","1","0.244114","0","0"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","16","8","8","1","0.858046","0","0"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","16","24","24","1","3.010474","0","0"
"/Engine/EngineMaterials/BaseFlattenMaterial.BaseFlattenMaterial","16","48","51","1","5.389842","0","0"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","16","42","42","1","5.117482","0","0"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","16","6","6","1","0.500990","0","0"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","16","17","17","1","1.123096","0","0"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","16","115","115","1","11.070169","0","0"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","16","823","847","1","83.594101","0","0"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","16","32","34","1","3.582418","0","0"
"/Game/FirstPersonBP/UI/Materials/Burn.Burn","16","15","15","1","3.812790","0","0"
"/Game/FirstPersonBP/UI/Materials/TextButton.TextButton","16","15","15","1","1.504844","0","0"
"/Game/FirstPersonBP/UI/Materials/TextButton_Main.TextButton_Main","16","15","15","1","2.004266","0","0"
"/Game/FirstPersonBP/UI/Materials/DownMenu_ImageChange.DownMenu_ImageChange","16","15","15","1","2.634033","0","0"
"/Game/FirstPersonBP/UI/Materials/Rounder_button_brush.Rounder_button_brush","16","15","15","1","2.313814","0","0"
"/Game/FirstPersonBP/UI/Materials/Generic_Glow.Generic_Glow","16","15","15","1","2.812776","0","0"
"/Niagara/DefaultAssets/DefaultRIbbonMaterial.DefaultRibbonMaterial","16","40","40","1","8.986348","0","0"
"/Niagara/DefaultAssets/DefaultSpriteMaterial.DefaultSpriteMaterial","16","50","50","1","9.345053","0","0"
"/Engine/EngineSky/M_Sky_Panning_Clouds2.M_Sky_Panning_Clouds2","16","2","2","1","0.478341","0","0"
"/Game/Movies/My_Player_Video_Mat.My_Player_Video_Mat","16","40","40","1","10.653034","0","0"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","16","17","17","1","3.095661","0","0"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","16","7","8","1","1.377181","0","0"
"/Game/Geometry/Meshes/CubeMaterial.CubeMaterial","16","33","33","1","67.445374","0","0"
"/Game/FirstPerson/Meshes/BaseMaterial.BaseMaterial","16","31","31","1","5.512070","0","0"
"/Engine/EngineMaterials/DefaultParticle.DefaultParticle","16","120","132","1","205.151855","0","0"
"/Game/FirstPersonBP/UI/Materials/Cursor_flipbook.Cursor_flipbook","16","15","15","1","1.696342","0","0"
